Item Generate_trace Simulate_trace Polyhdral_Simulate
2mm 29.765 10.591 120.712
3mm 45.305 15.986 188.945
atax 0.845 0.245 2.458
bicg 0.808 0.245 2.335
doitgen 14.963 5.248 58.168
mvt 0.819 0.241 2.516
gemm 21.228 7.178 87.889
gemver 1.251 0.421 4.453
gesummv 0.417 0.103 1.108
symm 14.573 5.45 61.760
syr2k 17.796 6.483 72.644
syrk 11.771 4.0 48.374
trmm 9.973 3.410 37.186
lu 43.353 14.612 156.542
trisolv 0.329 0.63 0.681
fdtd-2d 39.98 14.338 145.951
jacobi-1d 0.353 0.83 0.766
jacobi-2d 42.348 14.575 174.500
seidel-2d 84.342 29.161 235.586
