Item Generate_trace Simulate_trace Polyhdral_Simulate
2mm 0.752 0.221 3.57
3mm 1.219 0.383 5.19
atax 0.228 0.27 0.438
bicg 0.212 0.24 0.392
doitgen 1.94 0.343 3.899
mvt 0.230 0.24 0.428
gemm 0.835 0.251 3.89
gemver 0.264 0.40 0.696
gesummv 0.185 0.13 0.382
symm 0.606 0.167 2.276
syr2k 0.739 0.214 2.728
syrk 0.540 0.144 1.896
trmm 0.460 0.114 1.420
lu 1.368 0.404 4.568
trisolv 0.181 0.7 0.254
fdtd-2d 1.732 0.581 6.296
jacobi-1d 0.184 0.11 0.293
jacobi-2d 2.377 0.763 8.658
seidel-2d 3.297 1.33 13.363
